name,state,region
Autauga County,AL,"Autauga County, AL"
Baldwin County,AL,"Baldwin County, AL"
Barbour County,AL,"Barbour County, AL"
Bibb County,AL,"Bibb County, AL"
Blount County,AL,"Blount County, AL"
Bullock County,AL,"Bullock County, AL"
Butler County,AL,"Butler County, AL"
Calhoun County,AL,"Calhoun County, AL"
Chambers County,AL,"Chambers County, AL"
Cherokee County,AL,"Cherokee County, AL"
Chilton County,AL,"Chilton County, AL"
Choctaw County,AL,"Choctaw County, AL"
Clarke County,AL,"Clarke County, AL"
Clay County,AL,"Clay County, AL"
Cleburne County,AL,"Cleburne County, AL"
Coffee County,AL,"Coffee County, AL"
Colbert County,AL,"Colbert County, AL"
Conecuh County,AL,"Conecuh County, AL"
Coosa County,AL,"Coosa County, AL"
Covington County,AL,"Covington County, AL"
Crenshaw County,AL,"Crenshaw County, AL"
Cullman County,AL,"Cullman County, AL"
Dale County,AL,"Dale County, AL"
Dallas County,AL,"Dallas County, AL"
DeKalb County,AL,"DeKalb County, AL"
Elmore County,AL,"Elmore County, AL"
Escambia County,AL,"Escambia County, AL"
Etowah County,AL,"Etowah County, AL"
Fayette County,AL,"Fayette County, AL"
Franklin County,AL,"Franklin County, AL"
Geneva County,AL,"Geneva County, AL"
Greene County,AL,"Greene County, AL"
Hale County,AL,"Hale County, AL"
Henry County,AL,"Henry County, AL"
Houston County,AL,"Houston County, AL"
Jackson County,AL,"Jackson County, AL"
Jefferson County,AL,"Jefferson County, AL"
Lamar County,AL,"Lamar County, AL"
Lauderdale County,AL,"Lauderdale County, AL"
Lawrence County,AL,"Lawrence County, AL"
Lee County,AL,"Lee County, AL"
Limestone County,AL,"Limestone County, AL"
Lowndes County,AL,"Lowndes County, AL"
Macon County,AL,"Macon County, AL"
Madison County,AL,"Madison County, AL"
Marengo County,AL,"Marengo County, AL"
Marion County,AL,"Marion County, AL"
Marshall County,AL,"Marshall County, AL"
Mobile County,AL,"Mobile County, AL"
Monroe County,AL,"Monroe County, AL"
Montgomery County,AL,"Montgomery County, AL"
Morgan County,AL,"Morgan County, AL"
Perry County,AL,"Perry County, AL"
Pickens County,AL,"Pickens County, AL"
Pike County,AL,"Pike County, AL"
Randolph County,AL,"Randolph County, AL"
Russell County,AL,"Russell County, AL"
St. Clair County,AL,"St. Clair County, AL"
Shelby County,AL,"Shelby County, AL"
Sumter County,AL,"Sumter County, AL"
Talladega County,AL,"Talladega County, AL"
Tallapoosa County,AL,"Tallapoosa County, AL"
Tuscaloosa County,AL,"Tuscaloosa County, AL"
Walker County,AL,"Walker County, AL"
Washington County,AL,"Washington County, AL"
Wilcox County,AL,"Wilcox County, AL"
Winston County,AL,"Winston County, AL"
Aleutians East Borough,AK,"Aleutians East Borough, AK"
Aleutians West Census Area,AK,"Aleutians West Census Area, AK"
Anchorage Municipality,AK,"Anchorage Municipality, AK"
Bethel Census Area,AK,"Bethel Census Area, AK"
Bristol Bay Borough,AK,"Bristol Bay Borough, AK"
